,Capitolo,Parola,Traduzione,tfidf
74,15,malo,bad,0.12898594028196392
75,16,ídem,idem,0.1869573391085242
76,16,admirado,admired,0.15231566727565932
77,16,dramático,dramatic,0.14921705161570994
78,16,vulgar,vulgar,0.129384353147512
79,16,alto,high,0.10995020995502945
80,17,infinito,infinite,0.21080186357868452
81,17,religioso,religious,0.16832689421569288
82,17,piadós,pious,0.15265910336265787
83,17,preparado,prepared,0.15265910336265787
84,17,abismado,abyssed,0.13396657552245023
85,18,gris,grey,0.14404997775870332
86,18,blanco,white,0.13904978853135397
87,18,piadós,pious,0.12601979985495398
88,18,diligente,diligent,0.11058915362870127
89,18,judicial,judicial,0.11058915362870127
90,19,lleno,full,0.1473175537095691
91,19,angosto,narrow,0.13928712005743527
92,19,médico,doctor,0.13853798399628572
93,19,tranquilo,don't worry,0.12652684965352468
94,19,nervioso,highly strung,0.12440873228818591
95,20,filosófico,philosophical,0.16588089818134105
96,20,lleno,full,0.1381160530389662
97,20,viejo,old,0.13276583352232213
98,20,altruista,altruistic,0.13181584152935516
99,20,escandaloso,scandalous,0.12649575519345188
100,21,profano,profane,0.18448027154052946
101,21,fuerte,strong,0.12332204518009691
102,21,querido,darling,0.12025216524321113
103,21,alegre,cheerful,0.11627179248883335
104,21,enamorado,in love,0.11627179248883335
105,22,cruzado,crossed,0.19364545978951148
106,22,pobre,poor,0.17661427666569465
107,22,dispuesto,willing,0.15642486632799896
108,22,borracho,drunk,0.1519566295520838
109,22,católico,Catholic,0.1492225492239171
110,23,borracho,drunk,0.1929754303445173
111,23,exaltado,exalted,0.15791943255164825
112,23,dulce,sweet,0.1544812846732807
113,23,cruzado,crossed,0.1536985258856976
114,23,rebelde,rebel,0.14506990687678853
115,24,directivo,executive,0.22950161856469617
116,24,flotante,floating,0.18697683834831452
117,24,subido,uploaded,0.18697683834831452
118,24,perfumado,scented,0.16210143657032236
119,24,jaquet,jaquet,0.1530010790431308
120,25,noveno,nineth,0.1721931892621225
121,25,enamorado,in love,0.1572641750706695
122,25,espiritual,spiritual,0.15463150081160895
123,25,sacrílego,sacrilegious,0.13714616057544698
124,25,espantoso,frightening,0.1294467896067218
125,26,descalzo,barefoot,0.15920413682103401
126,26,enfermo,sick,0.14892768451944532
127,26,fúnebre,funeral,0.14892768451944532
128,26,solemne,solemn,0.1469257131507491
129,26,morado,purple,0.13271264583965858
130,27,magnífico,magnificent,0.16570134081972354
131,27,blanco,white,0.15983128066416155
132,27,ridículo,ridiculous,0.1536398755496644
133,27,antiguo,ancient,0.1438481525977454
134,27,alegre,cheerful,0.12354707988536176
135,28,confidencial,confidential,0.14671384506661825
136,28,loco,crazy,0.129238265234498
137,28,amoroso,loving,0.12653192944329955
138,28,dicho,saying,0.1242440498223545
139,28,dulcísima,very sweet,0.11622423276702944
140,29,infame,infamous,0.2299076425965552
141,29,viejo,old,0.14814609925195618
142,29,triste,sad,0.14295924682088043
143,29,helado,frozen,0.1332701139659419
144,29,casado,married,0.12008562062657019
145,30,triste,sad,0.18587809831255206
146,30,negro,black,0.15424967855835814
147,30,criminal,criminal,0.13614866517377225
148,30,pálido,pale,0.12343729033920141
149,30,furioso,furious,0.11574053157213933
